1715029200000;6794324
1713301200000;6797374
1711576800000;6696292
1712955600000;6571327
1712610000000;6603815
1711749600000;6499276
1710540000000;6750342
1710453600000;6629251
1710626400000;6871540
1714597200000;6757990
1712350800000;6716339
1710885600000;6873359
1712091600000;6645964
1715720400000;6646952
1713733200000;6857854
1713906000000;6708389
1712005200000;6861444
1710972000000;6779247
1714510800000;7043536
1712437200000;6890135
1711663200000;6598356
1711317600000;6704756
1715461200000;6704183
1715547600000;6765932
1714683600000;6499552
1714078800000;6577411
1715374800000;6505776
1710799200000;6726519
1714165200000;6748315
1715806800000;6715448
1711490400000;6930425
1711231200000;6985558
1712178000000;6469403
1715202000000;6671331
1712264400000;6810555
1714338000000;6930869
1712523600000;6857896
1713128400000;6397592
1711404000000;6996082
1714856400000;6861180
1711918800000;6701019
1711144800000;6734276
1713387600000;6839954
1712782800000;6668556
1714251600000;6627222
1715634000000;6778453
1713992400000;6897987
1712869200000;6712908
1713214800000;6752351
1713042000000;6817105
1714770000000;6794339
1713474000000;6595881
1713646800000;7092593
1710367200000;6482621
1710712800000;6598181
1711836000000;6442502
1713819600000;6251554
1714942800000;6862489
1715115600000;6585955
1714424400000;6586536
1711058400000;6695736
1713560400000;6582402
1715288400000;6915600
